area,occupation,year,workers
AUT,Creative and multimedia,2020,39.97
AUT,Creative and multimedia,2021,52.53
AUT,Creative and multimedia,2022,27.19
AUT,Creative and multimedia,2023,12.67
AUT,Creative and multimedia,2024,8.36
AUT,Professional services,2017,17.28
AUT,Professional services,2018,19.7
AUT,Professional services,2019,10.77
AUT,Professional services,2020,11.04
AUT,Professional services,2022,1.23
AUT,Professional services,2023,0.93
AUT,Professional services,2024,0.25
AUT,Sales and marketing support,2017,35.75
AUT,Sales and marketing support,2018,24.23
AUT,Sales and marketing support,2019,7.36
AUT,Sales and marketing support,2020,12.02
AUT,Sales and marketing support,2021,7.97
AUT,Sales and marketing support,2022,5.21
AUT,Sales and marketing support,2023,1.61
AUT,Sales and marketing support,2024,0.12
AUT,Software development and technology,2017,39.26
AUT,Software development and technology,2018,67.6
AUT,Software development and technology,2019,19.64
AUT,Software development and technology,2020,37.6
AUT,Software development and technology,2021,98.2
AUT,Software development and technology,2022,314.93
AUT,Software development and technology,2023,22.45
AUT,Software development and technology,2024,8.96
AUT,Writing and translation,2017,35.96
AUT,Writing and translation,2018,43.25
AUT,Writing and translation,2019,74.64
AUT,Writing and translation,2020,66.76
AUT,Writing and translation,2021,84.93
AUT,Writing and translation,2022,19.89
AUT,Writing and translation,2023,7.87
AUT,Writing and translation,2024,4.5
AZE,Clerical and data entry,2020,0.59
AZE,Clerical and data entry,2022,7.22
AZE,Creative and multimedia,2017,23.48
AZE,Creative and multimedia,2018,26.13
AZE,Creative and multimedia,2019,32.94
AZE,Creative and multimedia,2020,33.27
AZE,Creative and multimedia,2021,18.08
AZE,Creative and multimedia,2022,13.39
AZE,Creative and multimedia,2023,28.67
AZE,Creative and multimedia,2024,30.86
AZE,Professional services,2022,0.28
AZE,Professional services,2023,0.14
AZE,Professional services,2024,0.1
AZE,Sales and marketing support,2020,14.1
AZE,Sales and marketing support,2021,3.43
AZE,Sales and marketing support,2022,1.47
AZE,Sales and marketing support,2023,0.54
AZE,Sales and marketing support,2024,0.19
AZE,Software development and technology,2017,29.74
AZE,Software development and technology,2018,24.65
AZE,Software development and technology,2019,96.85
AZE,Software development and technology,2020,35.63
AZE,Software development and technology,2021,68.51
AZE,Software development and technology,2022,43.01
AZE,Software development and technology,2023,46.52
AZE,Software development and technology,2024,65.58
AZE,Writing and translation,2017,3.0
AZE,Writing and translation,2018,58.39
AZE,Writing and translation,2019,57.32
AZE,Writing and translation,2020,23.14
AZE,Writing and translation,2021,2.35
AZE,Writing and translation,2022,0.9
AZE,Writing and translation,2023,2.32
AZE,Writing and translation,2024,0.59
BDI,Creative and multimedia,2019,18.78
BDI,Creative and multimedia,2020,6.6
BDI,Creative and multimedia,2021,3.22
BDI,Writing and translation,2022,0.16
BDI,Writing and translation,2023,0.16
BDI,Writing and translation,2024,0.24
BEL,Clerical and data entry,2023,0.04
BEL,Creative and multimedia,2017,20.01
BEL,Creative and multimedia,2018,3.61
BEL,Creative and multimedia,2019,10.79
BEL,Creative and multimedia,2020,7.66
BEL,Creative and multimedia,2021,7.89
BEL,Creative and multimedia,2022,11.46
BEL,Creative and multimedia,2023,3.54
BEL,Creative and multimedia,2024,1.35
BEL,Professional services,2017,13.84
BEL,Professional services,2019,5.79
BEL,Professional services,2020,5.81
BEL,Professional services,2021,5.25
BEL,Professional services,2022,7.28
BEL,Professional services,2023,1.5
BEL,Professional services,2024,0.47
BEL,Sales and marketing support,2019,37.9
BEL,Sales and marketing support,2020,0.4
BEL,Sales and marketing support,2022,0.78
BEL,Sales and marketing support,2023,0.79
BEL,Sales and marketing support,2024,0.66
BEL,Software development and technology,2017,25.01
BEL,Software development and technology,2018,28.51
BEL,Software development and technology,2019,188.89
BEL,Software development and technology,2020,62.41
BEL,Software development and technology,2021,14.58
BEL,Software development and technology,2022,8.6
BEL,Software development and technology,2023,3.12
BEL,Software development and technology,2024,7.77
BEL,Writing and translation,2017,22.19
BEL,Writing and translation,2018,39.27
BEL,Writing and translation,2019,37.41
BEL,Writing and translation,2020,15.74
BEL,Writing and translation,2021,5.2
BEL,Writing and translation,2022,12.59
BEL,Writing and translation,2023,8.62
BEL,Writing and translation,2024,5.82
BEN,Clerical and data entry,2021,3.45
BEN,Clerical and data entry,2022,36.46
BEN,Clerical and data entry,2023,69.8
BEN,Clerical and data entry,2024,46.9
BEN,Creative and multimedia,2019,0.4
BEN,Creative and multimedia,2020,5.98
BEN,Creative and multimedia,2021,15.45
BEN,Creative and multimedia,2022,1.59
BEN,Creative and multimedia,2023,1.47
BEN,Creative and multimedia,2024,2.87
BEN,Professional services,2020,0.4
BEN,Professional services,2022,0.32
BEN,Professional services,2023,0.92
BEN,Professional services,2024,1.14
BEN,Sales and marketing support,2021,6.61
BEN,Sales and marketing support,2022,0.21
BEN,Sales and marketing support,2023,0.12
BEN,Sales and marketing support,2024,0.33
BEN,Software development and technology,2019,22.59
BEN,Software development and technology,2020,11.71
BEN,Software development and technology,2021,10.62
BEN,Software development and technology,2022,20.28
BEN,Software development and technology,2023,0.19
BEN,Software development and technology,2024,3.28
BEN,Writing and translation,2017,14.65
BEN,Writing and translation,2019,20.22
BEN,Writing and translation,2020,28.91
BEN,Writing and translation,2021,29.42
BEN,Writing and translation,2022,0.67
BEN,Writing and translation,2023,0.9
BEN,Writing and translation,2024,1.13
BFA,Sales and marketing support,2019,2.04
BFA,Software development and technology,2023,0.1
BFA,Software development and technology,2024,0.34
BFA,Writing and translation,2019,2.31
BFA,Writing and translation,2023,0.19
BGD,Clerical and data entry,2017,1849.13
BGD,Clerical and data entry,2018,2208.72
BGD,Clerical and data entry,2019,2813.56
BGD,Clerical and data entry,2020,4145.83
BGD,Clerical and data entry,2021,5097.22
BGD,Clerical and data entry,2022,4832.76
BGD,Clerical and data entry,2023,2549.69
BGD,Clerical and data entry,2024,2326.74
BGD,Creative and multimedia,2017,8434.58
BGD,Creative and multimedia,2018,11392.61
BGD,Creative and multimedia,2019,15099.15
BGD,Creative and multimedia,2020,26985.07
BGD,Creative and multimedia,2021,31162.07
BGD,Creative and multimedia,2022,41198.97
BGD,Creative and multimedia,2023,29504.66
BGD,Creative and multimedia,2024,27031.99
BGD,Professional services,2017,1447.53
BGD,Professional services,2018,2593.58
BGD,Professional services,2019,1401.34
BGD,Professional services,2020,451.82
BGD,Professional services,2021,41.42
BGD,Professional services,2022,328.54
BGD,Professional services,2023,198.56
BGD,Professional services,2024,218.25
BGD,Sales and marketing support,2017,12568.41
BGD,Sales and marketing support,2018,16534.96
BGD,Sales and marketing support,2019,9054.33
BGD,Sales and marketing support,2020,3412.87
BGD,Sales and marketing support,2021,2886.88
BGD,Sales and marketing support,2022,2792.38
BGD,Sales and marketing support,2023,1605.97
BGD,Sales and marketing support,2024,1722.72
BGD,Software development and technology,2017,7045.8
BGD,Software development and technology,2018,9612.37
BGD,Software development and technology,2019,7355.86
BGD,Software development and technology,2020,7278.96
BGD,Software development and technology,2021,7281.1
BGD,Software development and technology,2022,7153.78
BGD,Software development and technology,2023,5680.8
BGD,Software development and technology,2024,5979.95
BGD,Writing and translation,2017,908.57
BGD,Writing and translation,2018,1099.0
BGD,Writing and translation,2019,2295.09
BGD,Writing and translation,2020,3765.74
BGD,Writing and translation,2021,4616.02
BGD,Writing and translation,2022,4806.19
BGD,Writing and translation,2023,2353.02
BGD,Writing and translation,2024,2006.72
BGR,Clerical and data entry,2017,22.38
BGR,Clerical and data entry,2019,30.29
BGR,Clerical and data entry,2020,9.94
BGR,Clerical and data entry,2021,23.57
BGR,Clerical and data entry,2022,28.8
BGR,Clerical and data entry,2023,16.89
BGR,Creative and multimedia,2017,394.32
BGR,Creative and multimedia,2018,328.48
BGR,Creative and multimedia,2019,388.15
BGR,Creative and multimedia,2020,738.59
BGR,Creative and multimedia,2021,637.45
BGR,Creative and multimedia,2022,308.79
BGR,Creative and multimedia,2023,157.62
BGR,Creative and multimedia,2024,189.25
BGR,Professional services,2017,42.66
BGR,Professional services,2018,55.3
BGR,Professional services,2019,79.91
BGR,Professional services,2020,41.45
BGR,Professional services,2021,9.81
BGR,Professional services,2022,7.88
